rank,Uni,count,n_faculty
1,Massachusetts Institute of Technology,7.6,8
2,Carnegie Mellon University,7.5,11
3,Princeton University,6.3,6
4,Univ. of California - San Diego,6.2,4
5,Univ. of California - Los Angeles,5.8,3
6,TTI Chicago,5.1,3
7,Columbia University,4.8,7
8,University of Washington,4.7,5
9,Univ. of California - Berkeley,4.5,5
10,University of Texas at Austin,3.9,6
11,University of Chicago,3.8,4
12,Cornell University,3.7,5
12,Duke University,3.7,4
12,Univ. of Illinois at Urbana-Champaign,3.7,6
12,University of Waterloo,3.7,7
16,Johns Hopkins University,3.6,3
16,Northwestern University,3.6,4
18,University of Pennsylvania,3.4,6
19,Harvard University,3.2,4
20,California Institute of Technology,2.7,3
20,Georgia Institute of Technology,2.7,3
20,Stanford University,2.7,4
20,Yale University,2.7,3
24,Indiana University,2.5,2
24,Univ. of California - Irvine,2.5,2
24,University of Michigan,2.5,5
27,University of Maryland - College Park,2.4,2
27,University of Toronto,2.4,3
27,University of Wisconsin - Madison,2.4,2
30,New York University,2.3,2
30,Rutgers University,2.3,2
