rank,Uni,count,n_faculty
1,Carnegie Mellon University,5.1,5
2,Oregon State University,4.6,6
2,University of Alberta,4.6,7
4,Harvard University,4.3,3
5,University of Toronto,4.0,6
6,Cornell University,3.0,6
7,Univ. of California - Los Angeles,2.9,3
7,University of Montreal,2.9,4
9,University of Michigan,2.8,4
10,University of Illinois at Chicago,2.6,2
11,Georgia Institute of Technology,2.5,2
11,University of Texas at Austin,2.5,3
13,Massachusetts Institute of Technology,2.4,4
13,Northeastern University,2.4,4
13,University of Massachusetts Amherst,2.4,3
13,University of Southern California,2.4,4
17,Iowa State University,2.3,2
17,University of Pennsylvania,2.3,3
17,University of Texas at Dallas,2.3,2
20,Université Laval,2.2,3
20,Washington University in St. Louis,2.2,3
22,Temple University,2.1,3
22,Tulane University,2.1,3
24,Arizona State University,2.0,3
24,Brown University,2.0,4
24,Indiana University,2.0,2
24,Rice University,2.0,4
24,Univ. of California - Merced,2.0,1
24,University of Washington,2.0,3
30,Colorado School of Mines,1.9,2
30,Rutgers University,1.9,3
30,University of Maryland - College Park,1.9,2
30,University of Pittsburgh,1.9,1
