rank,Uni,count,n_faculty
1,University of Wisconsin - Madison,4.8,6
2,University of Michigan,4.4,9
3,Pennsylvania State University,3.2,6
4,Univ. of California - San Diego,3.1,8
5,Georgia Institute of Technology,2.9,4
6,Stanford University,2.6,3
7,Northwestern University,2.5,3
8,Massachusetts Institute of Technology,2.0,4
8,Univ. of California - Davis,2.0,3
8,Univ. of Illinois at Urbana-Champaign,2.0,2
11,Univ. of California - Santa Barbara,1.9,3
12,Princeton University,1.8,2
12,University of Washington,1.8,4
14,Rice University,1.7,2
14,Univ. of California - Berkeley,1.7,2
14,University of Virginia,1.7,2
17,University of Chicago,1.6,3
18,Columbia University,1.5,1
18,North Carolina State University,1.5,3
18,Ohio State University,1.5,2
18,Stony Brook University,1.5,2
18,University of British Columbia,1.5,2
18,University of Central Florida,1.5,1
18,University of Massachusetts Amherst,1.5,2
18,University of Toronto,1.5,2
18,University of Utah,1.5,2
27,Arizona State University,1.4,1
28,Brown University,1.3,1
28,Clemson University,1.3,1
28,Cornell University,1.3,2
28,Univ. of California - Santa Cruz,1.3,1
28,University of Rochester,1.3,2
28,University of Southern California,1.3,1
