rank,Uni,count,n_faculty
1,Washington University in St. Louis,2.5,4
2,Boston University,2.4,2
2,Carnegie Mellon University,2.4,2
4,University of Texas at Dallas,2.2,1
5,University of Pennsylvania,2.0,2
6,Wayne State University,1.9,2
7,University of Central Florida,1.6,1
7,University of Michigan,1.6,1
7,University of North Carolina,1.6,1
10,George Washington University,1.5,1
10,University of Chicago,1.5,1
10,University of Waterloo,1.5,1
13,Arizona State University,1.3,1
13,Kansas State University,1.3,1
13,Rochester Institute of Technology,1.3,1
13,Texas State University,1.3,1
13,Univ. of California - Riverside,1.3,1
13,University of Connecticut,1.3,1
13,University of Notre Dame,1.3,1
13,University of Pittsburgh,1.3,1
21,Missouri University of Technology,1.2,1
21,NJIT,1.2,1
21,Ohio State University,1.2,1
21,Rutgers University,1.2,1
25,Oregon State University,1.1,1
25,UCCS,1.1,1
