rank,Uni,count,n_faculty
1,University of Maryland - College Park,2.5,3
2,Univ. of California - Riverside,2.2,2
3,Massachusetts Institute of Technology,2.0,2
4,McGill University,1.8,1
4,Simon Fraser University,1.8,2
4,Univ. of Illinois at Urbana-Champaign,1.8,2
4,University of Central Florida,1.8,2
8,Georgia State University,1.7,2
9,Stanford University,1.6,1
9,Univ. of California - San Diego,1.6,2
11,Carnegie Mellon University,1.5,2
11,Pennsylvania State University,1.5,1
11,University of Florida,1.5,1
11,University of Toronto,1.5,2
11,Virginia Commonwealth University,1.5,1
16,Univ. of California - Los Angeles,1.4,3
17,Colorado State University,1.3,1
17,Duke University,1.3,1
17,Florida International University,1.3,1
17,Georgia Institute of Technology,1.3,1
17,Old Dominion University,1.3,1
17,Rice University,1.3,1
17,Virginia Tech,1.3,1
24,Clemson University,1.2,1
24,Colorado School of Mines,1.2,1
24,Florida State University,1.2,1
24,Johns Hopkins University,1.2,1
24,Northeastern University,1.2,1
24,Stony Brook University,1.2,1
24,University of Massachusetts Amherst,1.2,1
