rank,Uni,count,n_faculty
1,Carnegie Mellon University,13.8,16
2,University of Washington,12.3,16
3,University of Toronto,8.6,7
4,Univ. of California - Berkeley,4.4,3
5,Massachusetts Institute of Technology,3.8,3
5,Stanford University,3.8,6
5,University of Colorado Boulder,3.8,8
8,Cornell University,3.3,7
8,Georgia Institute of Technology,3.3,5
8,Univ. of California - Irvine,3.3,7
11,Texas A&M University,3.1,4
12,University of Maryland - College Park,2.9,6
13,Simon Fraser University,2.8,4
13,University of Michigan,2.8,5
13,University of Waterloo,2.8,4
16,Univ. of California - San Diego,2.7,4
17,University of Manitoba,2.6,2
18,Brown University,2.5,3
19,Univ. of California - Santa Cruz,2.3,3
20,University of Calgary,2.2,4
21,Indiana University,2.1,3
22,Northeastern University,2.0,2
22,University of Hawaii at Manoa,2.0,1
22,Virginia Tech,2.0,3
25,University of Virginia,1.9,2
26,Dartmouth College,1.8,2
26,Northwestern University,1.8,3
26,Rochester Institute of Technology,1.8,1
26,University of Minnesota,1.8,2
30,Rutgers University,1.7,1
30,Univ. of Illinois at Urbana-Champaign,1.7,3
30,University of Saskatchewan,1.7,1
