rank,Uni,count,n_faculty
1,Cornell University,2.8,4
2,Univ. of California - Los Angeles,2.7,2
3,Univ. of California - San Diego,2.5,2
3,University of Texas at Austin,2.5,1
5,New York University,2.3,2
5,Northeastern University,2.3,1
5,University of Maryland - College Park,2.3,2
5,University of Michigan,2.3,2
9,Univ. of California - Berkeley,2.2,2
9,Univ. of California - Davis,2.2,1
11,Stanford University,2.1,2
12,Boston University,1.9,2
13,Columbia University,1.8,1
13,Johns Hopkins University,1.8,2
13,Purdue University,1.8,2
13,University of Washington,1.8,2
17,Carnegie Mellon University,1.6,2
18,Brown University,1.5,1
18,Georgia Institute of Technology,1.5,1
18,Rutgers University,1.5,1
18,University of Chicago,1.5,1
22,Florida State University,1.3,1
22,Oregon State University,1.3,1
22,Stony Brook University,1.3,1
22,Texas A&M University,1.3,1
22,Univ. of California - Santa Barbara,1.3,1
22,University of Connecticut,1.3,1
22,University of Florida,1.3,1
22,Yale University,1.3,1
30,Harvard University,1.2,1
30,Indiana University,1.2,1
30,University of Pennsylvania,1.2,1
30,University of Virginia,1.2,1
