rank,Uni,count,n_faculty
1,University of Michigan,5.7,7
2,Univ. of California - Santa Barbara,4.8,2
3,Univ. of California - Berkeley,3.5,3
4,Duke University,3.2,3
4,Univ. of California - San Diego,3.2,4
6,Univ. of Illinois at Urbana-Champaign,3.0,4
7,Carnegie Mellon University,2.5,4
7,Univ. of California - Los Angeles,2.5,3
9,University of Southern California,2.3,2
10,Stanford University,2.1,2
11,Massachusetts Institute of Technology,2.0,1
11,Texas A&M University,2.0,2
11,Univ. of California - Riverside,2.0,2
11,University of Notre Dame,2.0,1
11,University of Texas at Austin,2.0,1
16,University of Pittsburgh,1.9,2
17,Brown University,1.8,1
17,Northwestern University,1.8,3
17,University of Pennsylvania,1.8,1
20,University at Buffalo,1.5,1
20,University of Florida,1.5,1
20,University of North Carolina,1.5,1
23,Rutgers University,1.3,1
23,Syracuse University,1.3,1
23,Univ. of California - Santa Cruz,1.3,1
23,University of Rochester,1.3,1
23,University of Virginia,1.3,1
23,University of Wisconsin - Madison,1.3,1
23,Yale University,1.3,1
30,Pennsylvania State University,1.1,1
