rank,Uni,count,n_faculty
1,University of Michigan,2.3,3
2,Harvard University,2.1,2
3,Columbia University,1.8,2
3,Duke University,1.8,1
3,Princeton University,1.8,2
6,Cornell University,1.5,1
6,Northwestern University,1.5,1
6,Purdue University,1.5,1
6,University of Maryland - College Park,1.5,3
6,Yale University,1.5,1
11,University of Virginia,1.4,1
12,Brown University,1.3,1
12,George Mason University,1.3,1
12,Rensselaer Polytechnic Institute,1.3,1
12,Stanford University,1.3,1
12,Univ. of Illinois at Urbana-Champaign,1.3,1
12,University of Colorado Boulder,1.3,1
12,University of Southern California,1.3,1
12,University of Washington,1.3,1
12,University of Wisconsin - Madison,1.3,1
21,Massachusetts Institute of Technology,1.2,1
21,NJIT,1.2,1
21,TTI Chicago,1.2,1
21,University of British Columbia,1.2,1
25,Washington University in St. Louis,1.1,1
