rank,Uni,count,n_faculty
1,Univ. of Illinois at Urbana-Champaign,3.0,4
2,North Carolina State University,2.9,5
3,University of Minnesota,2.7,6
4,Purdue University,2.3,5
4,Univ. of California - Riverside,2.3,3
6,Georgia Institute of Technology,2.1,2
7,University of Iowa,1.9,3
8,University of Virginia,1.8,3
8,Virginia Tech,1.8,2
10,Simon Fraser University,1.7,3
10,University of Central Florida,1.7,2
12,Pennsylvania State University,1.6,4
12,Univ. of California - Merced,1.6,2
12,University of British Columbia,1.6,3
12,University of Houston,1.6,1
12,University of Nevada,1.6,2
12,University of Toronto,1.6,3
18,Arizona State University,1.5,1
18,Binghamton University,1.5,1
18,George Washington University,1.5,1
18,Northeastern University,1.5,1
18,Texas State University,1.5,2
18,University of Maryland - College Park,1.5,1
18,University of New Mexico,1.5,1
18,University of Utah,1.5,2
26,Colorado State University,1.4,1
26,Florida State University,1.4,2
26,Indiana University,1.4,1
26,Missouri S&T,1.4,1
26,Ohio State University,1.4,1
26,Rutgers University,1.4,1
26,University of Texas at Arlington,1.4,1
