rank,Uni,count,n_faculty
1,Univ. of Illinois at Urbana-Champaign,2.4,5
2,University of Wisconsin - Madison,2.3,2
3,Princeton University,2.0,2
4,Cornell University,1.9,3
5,Stevens Institute of Technology,1.8,2
5,Univ. of California - Berkeley,1.8,1
7,University of Virginia,1.7,2
8,McGill University,1.5,1
8,University of Cincinnati,1.5,1
8,University of Pennsylvania,1.5,3
8,University of Toronto,1.5,1
12,Massachusetts Institute of Technology,1.3,1
12,Tufts University,1.3,1
12,Tulane University,1.3,1
12,Univ. of California - Los Angeles,1.3,2
12,Univ. of California - Santa Cruz,1.3,1
12,University at Buffalo,1.3,1
12,University of British Columbia,1.3,1
12,University of Illinois at Chicago,1.3,1
12,University of Missouri,1.3,1
12,University of Utah,1.3,1
22,Kansas State University,1.2,1
22,Michigan State University,1.2,1
22,Northeastern University,1.2,1
22,Rice University,1.2,1
22,Simon Fraser University,1.2,1
22,Univ. of California - San Diego,1.2,1
22,University of Colorado Boulder,1.2,1
22,Université de Sherbrooke,1.2,1
30,Stanford University,1.1,1
30,Stony Brook University,1.1,1
30,University of Nebraska,1.1,1
30,University of Waterloo,1.1,1
30,Vanderbilt University,1.1,1
