rank,Uni,count,n_faculty
1,Carnegie Mellon University,20.9,26
2,Univ. of California - Berkeley,13.8,16
3,Massachusetts Institute of Technology,13.5,22
4,Univ. of Illinois at Urbana-Champaign,12.6,18
5,Univ. of California - San Diego,11.2,18
6,Stanford University,10.5,14
7,Univ. of California - Los Angeles,7.7,8
8,Duke University,7.6,7
9,New York University,7.5,12
10,University of Washington,7.2,11
11,Columbia University,6.4,5
11,University of Massachusetts Amherst,6.4,9
11,University of Wisconsin - Madison,6.4,12
14,Cornell University,6.1,15
15,University of Toronto,6.0,10
16,University of Montreal,5.7,6
17,Rutgers University,5.2,4
17,University of Southern California,5.2,8
19,University of Alberta,5.1,7
20,University of Texas at Austin,4.9,6
21,Princeton University,4.8,8
21,University of Michigan,4.8,9
23,Georgia Institute of Technology,4.2,8
23,University of Maryland - College Park,4.2,8
25,University of Pennsylvania,4.1,6
26,Boston University,4.0,5
26,Purdue University,4.0,6
26,University of Illinois at Chicago,4.0,6
29,University of Central Florida,3.9,3
30,Yale University,3.8,3
