rank,Uni,count,n_faculty
1,Univ. of California - San Diego,3.4,5
2,Univ. of Illinois at Urbana-Champaign,2.5,3
3,Northeastern University,2.2,3
4,University at Buffalo,2.1,3
5,Dartmouth College,1.9,2
5,Michigan State University,1.9,3
5,University of Maryland - College Park,1.9,2
8,Princeton University,1.8,2
8,Stanford University,1.8,2
8,Univ. of California - Berkeley,1.8,1
8,University of Virginia,1.8,2
12,Georgia State University,1.7,2
12,Massachusetts Institute of Technology,1.7,2
12,Univ. of California - Merced,1.7,2
12,University of Michigan,1.7,2
12,University of Waterloo,1.7,2
17,Rutgers University,1.6,1
17,University of Chicago,1.6,2
17,University of Utah,1.6,2
17,University of Wisconsin - Madison,1.6,2
21,Purdue University,1.5,2
21,Stony Brook University,1.5,1
21,Univ. of California - Irvine,1.5,1
24,Georgia Institute of Technology,1.3,2
24,Johns Hopkins University,1.3,1
24,Pennsylvania State University,1.3,2
24,University of Guelph,1.3,1
24,University of Pennsylvania,1.3,1
24,University of South Carolina,1.3,1
24,University of Texas at Austin,1.3,1
