rank,Uni,count,n_faculty
1,University of Washington,3.7,4
2,University of Waterloo,3.6,6
3,University of Maryland - College Park,3.5,2
4,University of Pennsylvania,3.3,6
5,University of Massachusetts Amherst,3.0,6
6,University of Michigan,2.9,2
7,Kent State University,2.8,2
7,Univ. of California - Berkeley,2.8,2
9,Brown University,2.7,3
10,Massachusetts Institute of Technology,2.6,2
10,Purdue University,2.6,4
12,Northeastern University,2.2,2
12,Univ. of California - Los Angeles,2.2,2
12,Univ. of California - Santa Barbara,2.2,3
15,Duke University,2.0,3
15,Univ. of California - Riverside,2.0,3
15,University of Wisconsin - Madison,2.0,2
18,Georgia Institute of Technology,1.9,4
18,Simon Fraser University,1.9,2
18,Univ. of California - Irvine,1.9,3
18,University of Texas at Arlington,1.9,1
22,Stanford University,1.8,2
22,Univ. of Illinois at Urbana-Champaign,1.8,1
24,Boston University,1.7,2
24,Carnegie Mellon University,1.7,2
24,Rice University,1.7,1
24,Univ. of California - San Diego,1.7,2
24,Univ. of California - Santa Cruz,1.7,3
24,University of Ottawa,1.7,2
24,University of Toronto,1.7,1
