rank,Uni,count,n_faculty
1,Carnegie Mellon University,2.8,8
2,Massachusetts Institute of Technology,2.3,4
3,Univ. of California - Berkeley,2.1,5
3,University of Pennsylvania,2.1,4
5,New York University,1.8,2
5,Princeton University,1.8,2
7,Stanford University,1.7,3
8,Univ. of Illinois at Urbana-Champaign,1.5,3
8,University of Washington,1.5,3
10,Cornell University,1.4,2
10,Johns Hopkins University,1.4,1
12,Brown University,1.3,1
12,Rutgers University,1.3,1
12,Stony Brook University,1.3,1
12,University at Buffalo,1.3,1
12,University of Chicago,1.3,2
12,University of Texas at Austin,1.3,2
12,University of Waterloo,1.3,1
12,University of Wisconsin - Madison,1.3,2
12,Virginia Tech,1.3,1
12,Yale University,1.3,1
22,Georgia Institute of Technology,1.2,1
22,Univ. of California - Los Angeles,1.2,2
24,College of William and Mary,1.1,1
24,Duke University,1.1,1
24,Emory University,1.1,1
24,Harvard University,1.1,1
24,Ohio State University,1.1,1
24,Univ. of California - Irvine,1.1,1
24,Univ. of California - Santa Cruz,1.1,1
