rank,Uni,count,n_faculty
1,Carnegie Mellon University,4.4,6
2,University of Wisconsin - Madison,3.0,2
3,Cornell University,2.6,5
3,University of Pennsylvania,2.6,7
5,University of Texas at Austin,2.4,4
6,Indiana University,2.3,2
7,University of Waterloo,2.2,2
8,University of Washington,2.1,3
9,Harvard University,2.0,1
9,Pennsylvania State University,2.0,2
9,Purdue University,2.0,1
12,Univ. of California - Santa Barbara,1.9,3
13,Georgia Institute of Technology,1.8,1
13,Massachusetts Institute of Technology,1.8,2
13,University of Massachusetts Lowell,1.8,2
16,Univ. of California - Los Angeles,1.7,2
16,Univ. of Illinois at Urbana-Champaign,1.7,2
18,Univ. of California - Berkeley,1.6,1
18,Univ. of California - Santa Cruz,1.6,2
20,Binghamton University,1.5,1
20,New York University,1.5,1
20,Princeton University,1.5,2
20,Rutgers University,1.5,1
20,Tufts University,1.5,1
20,University of Maryland - College Park,1.5,2
20,University of Toronto,1.5,1
20,University of Utah,1.5,3
28,Boston University,1.4,1
28,Stevens Institute of Technology,1.4,2
30,Boston College,1.3,1
30,Florida State University,1.3,1
30,Illinois Institute of Technology,1.3,1
30,North Carolina State University,1.3,1
30,Northeastern University,1.3,1
30,Northwestern University,1.3,1
30,Stanford University,1.3,1
30,University of Chicago,1.3,1
30,University of Cincinnati,1.3,1
30,University of Colorado Boulder,1.3,1
30,University of Massachusetts Amherst,1.3,1
30,University of Massachusetts Boston,1.3,1
30,University of Oregon,1.3,1
