rank,Uni,count,n_faculty
1,Carnegie Mellon University,14.7,16
2,University of Pennsylvania,12.4,11
3,Univ. of California - Berkeley,10.6,8
4,Georgia Institute of Technology,9.5,10
5,Massachusetts Institute of Technology,8.7,8
6,University of Toronto,4.9,6
7,University of Washington,4.4,6
8,Univ. of Illinois at Urbana-Champaign,4.3,3
9,University of Southern California,4.2,3
10,University of Minnesota,4.0,3
11,University of Colorado Boulder,3.9,5
12,George Mason University,3.8,3
13,Texas A&M University,3.7,3
14,Iowa State University,3.6,3
15,Stanford University,3.5,4
15,Univ. of California - San Diego,3.5,6
17,Rutgers University,3.4,4
17,University of Michigan,3.4,3
19,Johns Hopkins University,3.3,3
20,Yale University,3.2,3
21,Univ. of California - Merced,3.0,1
21,University of Utah,3.0,3
23,University of Maryland - College Park,2.8,3
24,Arizona State University,2.7,5
24,University of Alberta,2.7,2
26,University of Massachusetts Amherst,2.6,2
26,Université Laval,2.6,4
28,Cornell University,2.5,2
28,University of South Carolina,2.5,3
30,Brown University,2.4,4
30,Lehigh University,2.4,2
