rank,Uni,count,n_faculty
1,University of Waterloo,4.0,3
2,Carnegie Mellon University,3.8,6
3,University of Calgary,3.3,2
4,Univ. of California - San Diego,3.1,4
5,Univ. of California - Santa Barbara,2.8,3
6,Univ. of California - Berkeley,2.7,4
7,Cornell University,2.6,4
7,Northeastern University,2.6,4
7,Princeton University,2.6,5
10,University of Texas at Austin,2.4,4
11,University of North Carolina,2.3,3
12,Georgia Institute of Technology,2.2,3
12,Massachusetts Institute of Technology,2.2,5
12,Pennsylvania State University,2.2,3
12,University of Massachusetts Amherst,2.2,3
12,University of Washington,2.2,5
17,New York University,2.0,3
17,Stanford University,2.0,2
17,Univ. of Illinois at Urbana-Champaign,2.0,2
20,Columbia University,1.8,2
20,University of Virginia,1.8,1
22,Harvard University,1.7,2
22,Indiana University,1.7,2
22,Johns Hopkins University,1.7,2
22,Univ. of California - Irvine,1.7,3
22,University of Pennsylvania,1.7,2
22,University of Tulsa,1.7,1
28,Boston University,1.5,2
28,New Mexico Tech,1.5,1
28,Rice University,1.5,2
28,University of Colorado Boulder,1.5,2
28,University of Georgia,1.5,1
