rank,Uni,count,n_faculty
1,Carnegie Mellon University,3.6,7
2,Univ. of Illinois at Urbana-Champaign,3.2,6
3,Univ. of California - Berkeley,2.7,3
3,University of Southern California,2.7,3
5,Univ. of California - Davis,2.6,3
5,Univ. of California - Santa Barbara,2.6,4
7,University of British Columbia,2.4,3
8,North Carolina State University,2.3,5
8,University of Texas at Dallas,2.3,3
8,University of Waterloo,2.3,3
11,Dalhousie University,2.0,1
12,Texas A&M University,1.9,1
12,University of Victoria,1.9,4
14,Iowa State University,1.8,1
14,Massachusetts Institute of Technology,1.8,2
14,University of Chicago,1.8,2
17,George Mason University,1.7,3
17,Georgia Institute of Technology,1.7,1
17,Purdue University,1.7,3
17,Queen’s University,1.7,1
21,College of William and Mary,1.6,1
21,Univ. of California - Riverside,1.6,1
21,University of Washington,1.6,2
24,Columbia University,1.5,2
24,Ohio State University,1.5,2
24,Pennsylvania State University,1.5,2
24,Univ. of California - Los Angeles,1.5,1
24,University of Pennsylvania,1.5,1
24,University of Tennessee,1.5,1
24,University of Toronto,1.5,1
