rank,Uni,count,n_faculty
1,Carnegie Mellon University,10.4,10
2,Columbia University,8.8,9
2,Massachusetts Institute of Technology,8.8,7
4,Stanford University,5.8,8
5,University of Washington,5.3,4
6,New York University,4.5,7
7,Princeton University,4.3,7
7,University of Pennsylvania,4.3,4
9,University of Texas at Austin,4.2,4
10,Northwestern University,3.9,3
11,Georgia Institute of Technology,3.5,3
11,Univ. of Illinois at Urbana-Champaign,3.5,4
11,University of Waterloo,3.5,5
14,Duke University,3.4,3
15,Northeastern University,3.3,3
16,Boston University,3.2,5
17,University of Maryland - College Park,3.1,4
17,University of Wisconsin - Madison,3.1,4
19,Univ. of California - Los Angeles,3.0,3
19,University of Michigan,3.0,5
21,Univ. of California - Berkeley,2.8,4
21,Univ. of California - Irvine,2.8,2
21,Univ. of California - Santa Barbara,2.8,2
24,University of Toronto,2.6,2
25,TTI Chicago,2.5,3
25,Univ. of California - San Diego,2.5,2
27,Harvard University,2.3,3
27,University at Buffalo,2.3,2
27,University of Southern California,2.3,1
27,University of Utah,2.3,3
