rank,Uni,count,n_faculty
1,University of Alberta,8.0,12
2,Northeastern University,7.0,6
3,Carnegie Mellon University,6.1,8
4,University of Massachusetts Amherst,5.6,7
5,Arizona State University,4.3,6
6,Stanford University,4.2,3
6,University of Pittsburgh,4.2,3
6,University of Texas at Austin,4.2,3
9,University of Texas at Dallas,4.1,6
10,Univ. of California - San Diego,4.0,6
11,Univ. of California - Berkeley,3.9,6
12,University of Toronto,3.8,5
13,Cornell University,3.7,6
13,Washington University in St. Louis,3.7,5
15,Harvard University,3.4,5
15,University of Wisconsin - Madison,3.4,6
17,Univ. of California - Los Angeles,3.3,8
18,Pennsylvania State University,3.2,5
18,Rensselaer Polytechnic Institute,3.2,4
18,Univ. of Illinois at Urbana-Champaign,3.2,7
18,University of British Columbia,3.2,6
18,University of Virginia,3.2,6
23,Johns Hopkins University,3.1,3
23,Temple University,3.1,3
23,University of Pennsylvania,3.1,3
26,University at Buffalo,3.0,6
26,University of Illinois at Chicago,3.0,6
26,University of Maryland - College Park,3.0,4
29,Purdue University,2.9,3
29,Rice University,2.9,4
