rank,Uni,count,n_faculty
1,Washington University in St. Louis,3.5,4
2,University of North Carolina,2.7,3
3,Univ. of California - Riverside,2.3,1
4,University of Texas at Dallas,2.1,1
5,North Carolina State University,2.0,1
5,University of Kansas,2.0,1
7,University of Michigan,1.8,1
8,George Washington University,1.7,1
8,Iowa State University,1.7,1
10,Arizona State University,1.6,2
11,Kansas State University,1.5,1
11,Northwestern University,1.5,1
11,Stony Brook University,1.5,1
11,Univ. of Illinois at Urbana-Champaign,1.5,2
11,University of Central Florida,1.5,1
11,University of Pennsylvania,1.5,2
11,Wayne State University,1.5,1
18,Carnegie Mellon University,1.4,2
18,Oregon State University,1.4,2
20,Duke University,1.3,1
20,George Mason University,1.3,1
20,Georgia Institute of Technology,1.3,1
20,Michigan State University,1.3,1
20,Missouri University of Technology,1.3,1
20,Purdue University,1.3,1
20,UCCS,1.3,1
20,Univ. of California - Berkeley,1.3,1
20,Univ. of California - Los Angeles,1.3,1
20,University of Southern California,1.3,1
20,Vanderbilt University,1.3,2
