rank,Uni,count,n_faculty
1,Carnegie Mellon University,2.7,4
1,McGill University,2.7,2
3,Case Western Reserve University,2.2,2
4,Duke University,2.1,2
5,Massachusetts Institute of Technology,2.0,3
6,Univ. of California - San Diego,1.9,2
7,Univ. of California - Los Angeles,1.8,2
8,Rice University,1.7,2
8,Univ. of California - Riverside,1.7,1
10,Univ. of California - Berkeley,1.6,2
11,Dartmouth College,1.5,1
11,TTI Chicago,1.5,1
11,University of Florida,1.5,1
11,University of Toronto,1.5,1
11,Virginia Commonwealth University,1.5,1
16,Brown University,1.3,1
16,Concordia University,1.3,1
16,Tufts University,1.3,1
16,Univ. of Illinois at Urbana-Champaign,1.3,1
16,University of Iowa,1.3,1
16,University of Maryland - College Park,1.3,1
16,University of Southern California,1.3,1
16,University of Wisconsin - Madison,1.3,1
24,Indiana University,1.2,1
24,Pennsylvania State University,1.2,1
24,Simon Fraser University,1.2,1
24,Stanford University,1.2,1
24,Univ. of California - Irvine,1.2,1
