rank,Uni,count,n_faculty
1,Massachusetts Institute of Technology,3.9,4
2,Stanford University,3.7,6
3,University of Washington,3.5,6
4,Carnegie Mellon University,3.0,5
5,Univ. of California - San Diego,2.8,9
6,Univ. of California - Berkeley,2.6,3
7,Princeton University,2.4,5
8,New York University,2.3,3
9,Cornell University,2.1,5
9,University of Massachusetts Amherst,2.1,4
9,University of Pennsylvania,2.1,2
12,Northeastern University,2.0,3
12,University of Michigan,2.0,5
14,Harvard University,1.8,1
14,University of Southern California,1.8,2
16,Univ. of Illinois at Urbana-Champaign,1.6,2
17,University of Minnesota,1.5,2
18,Northwestern University,1.4,3
18,University of Texas at Austin,1.4,1
20,Boston University,1.3,1
20,College of William and Mary,1.3,1
20,Columbia University,1.3,1
20,Stony Brook University,1.3,1
20,Univ. of California - Los Angeles,1.3,1
20,Univ. of California - Riverside,1.3,1
20,Univ. of California - Santa Barbara,1.3,1
20,Virginia Tech,1.3,1
20,Yale University,1.3,2
29,Brown University,1.2,1
30,Duke University,1.1,1
30,Johns Hopkins University,1.1,1
30,Ohio State University,1.1,1
