rank,Uni,count,n_faculty
1,Univ. of California - Los Angeles,3.3,2
2,Stanford University,2.8,1
3,Carnegie Mellon University,2.6,3
4,Johns Hopkins University,2.5,2
4,University of Michigan,2.5,2
6,Univ. of California - San Diego,2.2,2
7,Univ. of California - Berkeley,2.1,3
7,University of Texas at Austin,2.1,1
9,CUNY,2.0,3
9,Georgetown University,2.0,1
9,University of Washington,2.0,2
12,Cornell University,1.8,1
12,Harvard University,1.8,1
12,Northeastern University,1.8,1
15,Massachusetts Institute of Technology,1.7,2
16,University of Waterloo,1.6,2
17,Georgia Institute of Technology,1.5,1
17,New York University,1.5,2
17,University of Chicago,1.5,1
17,University of Massachusetts Amherst,1.5,1
21,Boston University,1.3,1
21,Brown University,1.3,1
21,California Institute of Technology,1.3,1
21,Columbia University,1.3,1
21,Florida State University,1.3,1
21,George Mason University,1.3,1
21,Indiana University,1.3,1
21,North Carolina State University,1.3,1
21,Oregon State University,1.3,1
21,Stony Brook University,1.3,1
21,Univ. of California - Davis,1.3,1
21,University of Connecticut,1.3,1
21,University of Maryland - College Park,1.3,1
21,University of Virginia,1.3,1
21,Yale University,1.3,1
