rank,Uni,count,n_faculty
1,University of Michigan,5.9,9
2,Univ. of California - San Diego,5.6,6
3,Duke University,4.2,3
4,Univ. of California - Los Angeles,3.9,3
5,Univ. of Illinois at Urbana-Champaign,3.4,5
6,Univ. of California - Santa Barbara,3.3,2
7,Univ. of California - Berkeley,3.1,3
8,Pennsylvania State University,2.8,4
9,University of Texas at Austin,2.5,1
10,Massachusetts Institute of Technology,2.3,3
11,Northwestern University,2.1,2
12,New York University,2.0,2
12,Northeastern University,2.0,3
12,University of Washington,2.0,1
15,Univ. of California - Irvine,1.8,1
16,University of Notre Dame,1.6,3
17,Cornell University,1.5,1
17,Rice University,1.5,1
17,Rutgers University,1.5,1
17,Stanford University,1.5,2
17,Univ. of California - Riverside,1.5,1
17,University at Buffalo,1.5,1
17,University of Toronto,1.5,1
24,Arizona State University,1.3,1
24,Carnegie Mellon University,1.3,2
24,Colorado State University,1.3,1
24,Indiana University,1.3,1
24,Oregon State University,1.3,1
24,Portland State University,1.3,1
24,Stony Brook University,1.3,1
24,Univ. of California - Santa Cruz,1.3,1
24,University of Arkansas,1.3,1
24,University of Pittsburgh,1.3,1
24,University of Tennessee,1.3,1
24,University of Virginia,1.3,1
24,Yale University,1.3,1
