rank,Uni,count,n_faculty
1,Carnegie Mellon University,3.3,4
2,Harvard University,3.1,4
3,Cornell University,2.9,4
4,Illinois Institute of Technology,2.5,2
4,University of Southern California,2.5,3
6,University of British Columbia,2.3,1
6,University of Pennsylvania,2.3,2
6,University of Texas at Austin,2.3,2
9,Massachusetts Institute of Technology,2.0,2
10,Columbia University,1.8,1
10,Duke University,1.8,1
10,Northwestern University,1.8,1
13,Purdue University,1.5,1
13,Stanford University,1.5,2
15,University of Illinois at Chicago,1.4,2
16,California Institute of Technology,1.3,1
16,George Mason University,1.3,1
16,Georgia Institute of Technology,1.3,1
16,Old Dominion University,1.3,1
16,Rensselaer Polytechnic Institute,1.3,1
16,Univ. of California - San Diego,1.3,1
16,Univ. of Illinois at Urbana-Champaign,1.3,1
16,University of Colorado Boulder,1.3,1
16,University of Michigan,1.3,1
16,University of New Mexico,1.3,1
16,University of Washington,1.3,1
16,Washington University in St. Louis,1.3,1
28,Brown University,1.2,1
