rank,Uni,count,n_faculty
1,Virginia Tech,2.5,4
2,Univ. of Illinois at Urbana-Champaign,2.3,5
3,Univ. of California - Riverside,2.2,4
4,North Carolina State University,1.7,2
4,Univ. of California - Merced,1.7,3
4,University of Chicago,1.7,2
7,University of Iowa,1.6,2
8,Augusta University,1.5,1
8,Georgia Institute of Technology,1.5,1
8,Harvard University,1.5,1
8,Princeton University,1.5,1
8,Texas Tech University,1.5,1
8,University of British Columbia,1.5,2
8,University of Delaware,1.5,1
8,University of Massachusetts Amherst,1.5,2
8,University of Utah,1.5,2
8,University of Wisconsin - Madison,1.5,2
8,Washington State University,1.5,2
19,Johns Hopkins University,1.4,2
19,Northeastern University,1.4,1
19,Univ. of California - Santa Cruz,1.4,2
22,Colorado State University,1.3,1
22,Purdue University,1.3,1
22,UNC - Charlotte,1.3,1
22,Univ. of California - Berkeley,1.3,1
22,Univ. of California - Santa Barbara,1.3,1
22,University of Maryland - College Park,1.3,1
22,University of Tennessee,1.3,1
22,University of Toronto,1.3,1
22,University of Virginia,1.3,1
22,University of Waterloo,1.3,1
