rank,Uni,count,n_faculty
1,Cornell University,2.6,4
2,Purdue University,2.5,3
3,Carnegie Mellon University,2.2,3
4,Univ. of Illinois at Urbana-Champaign,2.0,4
4,University of Michigan,2.0,3
6,University of Waterloo,1.9,3
7,Rutgers University,1.8,2
7,Stanford University,1.8,3
7,University of Pittsburgh,1.8,2
10,Univ. of California - San Diego,1.7,3
10,University of Massachusetts Amherst,1.7,1
10,University of Southern California,1.7,2
13,Rice University,1.6,3
14,Binghamton University,1.5,1
14,Emory University,1.5,2
14,Univ. of California - Santa Barbara,1.5,3
14,University of Toronto,1.5,1
18,Massachusetts Institute of Technology,1.4,2
18,University of Minnesota,1.4,2
20,Arizona State University,1.3,1
20,California Institute of Technology,1.3,1
20,Georgetown University,1.3,1
20,Harvard University,1.3,1
20,Michigan State University,1.3,1
20,Texas A&M University,1.3,1
20,University of New Hampshire,1.3,1
20,University of South Carolina,1.3,1
20,University of Virginia,1.3,1
29,Columbia University,1.2,1
29,Georgia Institute of Technology,1.2,1
29,Ohio State University,1.2,1
29,Princeton University,1.2,1
29,Univ. of California - Santa Cruz,1.2,1
29,University of North Carolina,1.2,1
29,University of Rochester,1.2,1
29,University of Wisconsin - Madison,1.2,1
29,Virginia Tech,1.2,1
29,Worcester Polytechnic Institute,1.2,1
