rank,Uni,count,n_faculty
1,Carnegie Mellon University,4.3,6
2,University of Texas at Austin,2.8,3
2,University of Wisconsin - Madison,2.8,3
4,Univ. of California - Berkeley,2.1,1
4,Univ. of Illinois at Urbana-Champaign,2.1,3
6,Cornell University,1.9,3
6,Princeton University,1.9,1
8,Massachusetts Institute of Technology,1.8,3
8,McGill University,1.8,2
8,Rice University,1.8,1
11,Columbia University,1.7,2
11,Florida State University,1.7,1
13,Université de Sherbrooke,1.6,1
14,University of Victoria,1.5,1
14,University of Waterloo,1.5,1
14,York University,1.5,1
17,Boston College,1.3,1
17,Memorial University of Newfoundland,1.3,1
17,New York University,1.3,1
17,Stevens Institute of Technology,1.3,1
17,Tulane University,1.3,1
17,Univ. of California - San Diego,1.3,1
17,University of Hawaii at Manoa,1.3,1
17,University of Illinois at Chicago,1.3,1
17,University of Michigan,1.3,1
17,University of Missouri,1.3,1
17,University of Southern California,1.3,1
28,Stanford University,1.2,1
28,University of British Columbia,1.2,1
28,University of Iowa,1.2,1
