rank,Uni,count,n_faculty
1,Univ. of California - San Diego,3.8,6
2,Northeastern University,3.4,4
3,Columbia University,2.4,3
4,University of Michigan,2.1,5
5,University of Maryland - College Park,2.0,2
6,University of Washington,1.7,2
7,Pennsylvania State University,1.6,3
8,Univ. of California - Santa Cruz,1.5,1
8,University of Texas at Austin,1.5,1
8,University of Wisconsin - Madison,1.5,2
11,Univ. of California - Berkeley,1.4,1
12,Harvard University,1.3,1
12,Northwestern University,1.3,1
12,Univ. of Illinois at Urbana-Champaign,1.3,2
12,University of Florida,1.3,1
12,University of Illinois at Chicago,1.3,1
12,University of North Texas,1.3,1
12,University of Notre Dame,1.3,1
12,University of Pittsburgh,1.3,1
12,University of South Carolina,1.3,1
12,Yale University,1.3,1
22,California Institute of Technology,1.2,1
22,Carnegie Mellon University,1.2,1
22,Georgia Institute of Technology,1.2,1
22,Purdue University,1.2,1
22,Stony Brook University,1.2,1
22,University of Calgary,1.2,1
22,University of Chicago,1.2,1
22,University of Minnesota,1.2,1
22,University of Southern California,1.2,1
