rank,Uni,count,n_faculty
1,Carnegie Mellon University,15.7,19
2,Stanford University,13.7,21
3,Univ. of California - Berkeley,11.7,17
4,Univ. of Illinois at Urbana-Champaign,11.5,15
5,Univ. of California - Los Angeles,9.1,10
6,University of Washington,9.0,11
7,Princeton University,8.4,10
8,Cornell University,8.3,16
9,Massachusetts Institute of Technology,8.2,14
10,Univ. of California - San Diego,7.4,13
11,University of Wisconsin - Madison,6.2,10
12,Duke University,5.6,9
13,University of Massachusetts Amherst,5.5,11
14,Columbia University,5.3,6
14,Northwestern University,5.3,2
16,New York University,5.1,8
16,Rutgers University,5.1,5
16,University of Southern California,5.1,8
19,Harvard University,4.9,7
20,University at Buffalo,4.8,10
20,University of Montreal,4.8,5
22,University of Toronto,4.6,10
23,University of Alberta,4.5,6
24,Boston University,4.0,7
25,Brown University,3.9,6
25,University of Texas at Austin,3.9,5
25,University of Waterloo,3.9,6
28,TTI Chicago,3.8,4
29,Purdue University,3.6,6
30,University of Maryland - College Park,3.5,7
30,University of Pennsylvania,3.5,7
