rank,Uni,count,n_faculty
1,Carnegie Mellon University,1.7,2
2,University of Washington,1.6,4
3,University of Michigan,1.5,1
3,University of South Carolina,1.5,2
5,George Mason University,1.4,2
5,Univ. of California - Irvine,1.4,2
7,Dartmouth College,1.3,2
7,Princeton University,1.3,1
7,Univ. of California - Berkeley,1.3,1
7,University of Maryland - College Park,1.3,1
11,Purdue University,1.2,2
11,University at Buffalo,1.2,1
11,University of Colorado - Denver,1.2,1
11,University of Massachusetts Amherst,1.2,1
11,University of Southern California,1.2,1
16,Michigan State University,1.1,1
16,Northwestern University,1.1,1
16,Pennsylvania State University,1.1,1
16,Univ. of California - San Diego,1.1,1
