rank,Uni,count,n_faculty
1,University of Washington,13.5,8
2,Carnegie Mellon University,11.9,10
3,Cornell University,8.9,8
4,University of North Carolina,7.5,4
5,Stanford University,7.0,8
6,Univ. of California - San Diego,6.5,8
7,Johns Hopkins University,6.4,5
7,Univ. of Illinois at Urbana-Champaign,6.4,9
9,New York University,6.3,4
10,Georgia Institute of Technology,6.0,6
10,University of Maryland - College Park,6.0,6
12,Univ. of California - Los Angeles,5.3,4
12,University of Michigan,5.3,5
14,University of Pennsylvania,5.2,6
14,University of Southern California,5.2,7
16,Columbia University,4.5,5
17,University of Massachusetts Amherst,4.4,6
18,University of Texas at Austin,4.3,6
19,Univ. of California - Santa Barbara,4.2,5
20,McGill University,4.0,4
21,Stony Brook University,3.8,5
22,Worcester Polytechnic Institute,3.7,5
23,TTI Chicago,3.6,2
24,Arizona State University,3.4,4
24,University of Waterloo,3.4,5
26,Massachusetts Institute of Technology,3.3,5
27,George Mason University,3.1,2
28,University of Pittsburgh,3.0,4
29,University of Illinois at Chicago,2.9,3
30,Duke University,2.8,3
30,Ohio State University,2.8,2
30,University of Colorado Boulder,2.8,3
30,University of Toronto,2.8,2
