rank,Uni,count,n_faculty
1,Massachusetts Institute of Technology,2.6,4
2,Carnegie Mellon University,2.1,5
2,Stanford University,2.1,3
4,University of Michigan,2.0,3
5,Georgia Institute of Technology,1.9,2
6,Columbia University,1.7,3
6,University of Toronto,1.7,2
8,Colorado School of Mines,1.5,1
8,Univ. of California - Los Angeles,1.5,3
8,University of Texas at Austin,1.5,2
11,New York University,1.3,1
11,Pennsylvania State University,1.3,2
11,University of Chicago,1.3,1
11,University of Pennsylvania,1.3,1
11,University of Washington,1.3,2
11,University of Wisconsin - Madison,1.3,1
17,Harvard University,1.2,1
17,Purdue University,1.2,1
17,University of British Columbia,1.2,1
17,University of Waterloo,1.2,1
17,Virginia Tech,1.2,1
22,Northeastern University,1.1,1
22,Univ. of California - Berkeley,1.1,1
22,Univ. of California - Irvine,1.1,1
22,Univ. of Illinois at Urbana-Champaign,1.1,1
