rank,Uni,count,n_faculty
1,University of Pennsylvania,13.3,10
2,Carnegie Mellon University,12.0,16
3,Univ. of California - Berkeley,11.4,10
4,Massachusetts Institute of Technology,6.5,5
5,Stanford University,5.7,6
6,Georgia Institute of Technology,5.4,10
7,Cornell University,5.2,3
8,Johns Hopkins University,4.3,4
8,University of Toronto,4.3,7
10,University of Minnesota,4.2,3
10,University of Southern California,4.2,4
12,University of Washington,4.1,5
13,University of Colorado Boulder,3.8,6
14,Univ. of California - San Diego,3.7,5
15,Yale University,3.6,2
16,University of Maryland - College Park,3.4,4
17,Dartmouth College,3.0,2
17,University of South Carolina,3.0,2
19,Worcester Polytechnic Institute,2.9,5
20,McGill University,2.8,2
21,Brown University,2.7,3
22,Northeastern University,2.6,6
22,Univ. of Illinois at Urbana-Champaign,2.6,5
24,Texas A&M University,2.3,2
25,Northwestern University,2.2,2
25,University of Alberta,2.2,3
25,University of Massachusetts Amherst,2.2,3
28,University of New Mexico,2.1,2
29,University of Michigan,2.0,2
29,University of Texas at Arlington,2.0,1
