rank,Uni,count,n_faculty
1,Purdue University,3.3,8
2,George Washington University,2.5,3
3,Univ. of California - Santa Barbara,2.4,3
4,Arizona State University,2.0,6
4,Naval Postgraduate School,2.0,1
6,New York University,1.9,2
6,Pennsylvania State University,1.9,4
6,Univ. of California - Riverside,1.9,4
6,Univ. of Illinois at Urbana-Champaign,1.9,3
6,University of Florida,1.9,2
11,University of Maryland - College Park,1.8,3
12,Carnegie Mellon University,1.7,4
12,Columbia University,1.7,2
12,University of Illinois at Chicago,1.7,2
15,Cornell University,1.5,1
15,Indiana University,1.5,3
15,Massachusetts Institute of Technology,1.5,1
15,Stony Brook University,1.5,2
15,Univ. of California - Berkeley,1.5,2
15,Univ. of California - Irvine,1.5,2
15,Univ. of California - San Diego,1.5,3
15,University of Central Florida,1.5,1
15,University of Michigan,1.5,2
15,University of Texas at Austin,1.5,1
15,University of Virginia,1.5,2
15,University of Wisconsin - Madison,1.5,3
27,Binghamton University,1.4,2
27,Georgia Institute of Technology,1.4,2
27,Northeastern University,1.4,1
27,Ohio State University,1.4,2
27,Rochester Institute of Technology,1.4,2
27,University of Toronto,1.4,2
27,Washington University in St. Louis,1.4,2
