rank,Uni,count,n_faculty
1,Iowa State University,2.8,3
2,Univ. of California - Davis,2.5,3
2,Univ. of California - Irvine,2.5,4
4,Purdue University,2.3,1
5,Concordia University,2.2,2
5,University of Washington,2.2,2
5,University of Waterloo,2.2,3
8,Univ. of California - Los Angeles,2.1,3
9,University of British Columbia,2.0,3
10,University of Southern California,1.9,3
11,Univ. of Illinois at Urbana-Champaign,1.8,3
11,University of Toronto,1.8,2
13,North Carolina State University,1.7,2
13,Northeastern University,1.7,2
13,University of Texas at Dallas,1.7,2
16,Columbia University,1.6,2
17,Binghamton University,1.5,1
17,College of William and Mary,1.5,1
17,George Mason University,1.5,2
17,Kansas State University,1.5,2
17,McGill University,1.5,1
17,Oregon State University,1.5,1
17,Queen’s University,1.5,3
17,Simon Fraser University,1.5,1
17,University of Massachusetts Amherst,1.5,1
17,University of Victoria,1.5,1
27,University of Notre Dame,1.4,1
27,University of Texas at Austin,1.4,2
29,Boise State University,1.3,1
29,Georgia Institute of Technology,1.3,1
29,Louisiana State University,1.3,1
29,NJIT,1.3,1
29,New York University,1.3,1
29,Pennsylvania State University,1.3,1
29,Tufts University,1.3,1
29,Univ. of California - Berkeley,1.3,1
29,University of Chicago,1.3,1
29,University of Cincinnati,1.3,1
29,University of Colorado Boulder,1.3,1
29,University of Illinois at Chicago,1.3,1
29,University of Nebraska,1.3,1
29,University of Oregon,1.3,1
29,University of Pennsylvania,1.3,1
29,University of Virginia,1.3,1
29,Virginia Tech,1.3,1
29,West Virginia University,1.3,1
