rank,Uni,count,n_faculty
1,Univ. of California - San Diego,11.9,12
2,Carnegie Mellon University,10.1,13
3,Univ. of Illinois at Urbana-Champaign,8.4,12
4,Stanford University,8.0,9
5,Univ. of California - Berkeley,7.9,10
6,Cornell University,7.6,9
7,Simon Fraser University,7.5,8
8,University of Maryland - College Park,7.3,9
9,Johns Hopkins University,6.6,6
10,Northeastern University,6.4,6
11,Stony Brook University,6.3,10
12,Massachusetts Institute of Technology,6.2,11
12,Michigan State University,6.2,7
12,University of Rochester,6.2,5
15,University of Central Florida,6.0,8
16,University of Toronto,5.4,5
17,Georgia Institute of Technology,5.2,9
18,Univ. of California - Merced,5.1,2
19,University of Washington,5.0,8
20,University at Buffalo,4.4,7
20,University of Massachusetts Amherst,4.4,5
22,Columbia University,4.3,6
22,Princeton University,4.3,4
24,Boston University,4.2,8
25,Univ. of California - Los Angeles,3.9,3
25,University of Texas at Austin,3.9,5
27,Rutgers University,3.6,5
27,University of Michigan,3.6,4
29,Pennsylvania State University,3.5,6
29,University of Texas at Dallas,3.5,4
