rank,Uni,count,n_faculty
1,University of Wisconsin - Madison,3.1,2
2,Georgia Institute of Technology,2.8,5
3,Clemson University,2.4,3
3,University of North Carolina,2.4,2
5,Harvard University,2.3,2
5,Northwestern University,2.3,2
5,Univ. of California - Santa Barbara,2.3,1
8,University of Central Florida,2.2,3
8,University of Maryland - College Park,2.2,2
10,University of Utah,2.1,6
11,University of Illinois at Chicago,2.0,1
12,Oregon State University,1.7,3
12,University of Washington,1.7,2
12,University of Waterloo,1.7,1
15,Simon Fraser University,1.6,1
15,University of Texas at San Antonio,1.6,1
15,University of Toronto,1.6,3
15,University of Victoria,1.6,1
19,Northeastern University,1.5,2
19,Stanford University,1.5,2
19,Univ. of California - Davis,1.5,1
19,University of British Columbia,1.5,2
23,George Mason University,1.4,1
23,UNC - Greensboro,1.4,1
23,University of Colorado Boulder,1.4,2
23,Virginia Tech,1.4,3
27,Cornell University,1.3,1
27,New York University,1.3,1
27,Ohio State University,1.3,1
27,Texas A&M University,1.3,1
27,UNC - Charlotte,1.3,1
