rank,Uni,count,n_faculty
1,Carnegie Mellon University,8.9,9
2,Univ. of California - San Diego,5.2,5
3,Univ. of California - Berkeley,5.0,4
4,Stanford University,4.7,5
5,Johns Hopkins University,4.6,3
6,Columbia University,4.0,4
6,Massachusetts Institute of Technology,4.0,6
6,University of Central Florida,4.0,2
6,University of Washington,4.0,3
10,Cornell University,3.7,3
10,Univ. of California - Merced,3.7,1
10,University of Pennsylvania,3.7,4
10,University of Southern California,3.7,4
14,Georgia Institute of Technology,3.6,5
14,Stevens Institute of Technology,3.6,3
14,Univ. of Illinois at Urbana-Champaign,3.6,6
17,Simon Fraser University,3.4,5
18,University at Buffalo,3.3,3
18,University of Massachusetts Amherst,3.3,4
20,California Institute of Technology,3.1,1
20,University of Waterloo,3.1,2
22,Oregon State University,3.0,3
23,Stony Brook University,2.9,4
24,Boston University,2.8,3
24,Rutgers University,2.8,3
24,University of North Carolina,2.8,4
27,Brown University,2.7,3
27,University of Toronto,2.7,3
27,York University,2.7,2
30,Univ. of California - Riverside,2.6,2
